tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
27977,2,27977,Nosema,,eukaryota,FALSE,2704548266,100,100,25462.08168,83407,31,62041,90.9624,895.32,10^-197.428,,,,,100,281171.8148,921044,1652,919893,67.7995,440.551,10^0.00206884,,,,,"[40302, 35231, 40135, 83296, 27978, 1112939, 885908, 1633330, 2485486, 40300]"
40302,1,27977,Nosema ceranae,,eukaryota,FALSE,2704548266,100,100,13994.72719,45843,20,27439,84.7961,766.741,10^-140.019,,,,,100,256460.0994,840095,1434,839331,68.1686,457.55,10^0.00188992,,,,,
35231,1,27977,Nosema apis,,eukaryota,FALSE,191135803.5,100,100,1.221100468,4,,,96.437,45.5,10^-16.589,,,,,100,19112.35925,62607,101,62320,64.3921,251.669,10^0.000655478,,,,,
40135,1,27977,Nosema bombi,,eukaryota,FALSE,105527502.4,100,100,10371.7221,33975,10,33700,99.845,1178.49,10^-302.213,,,,,100,181.0281444,593,1,592,99.6546,288.503,10^4.97238e-07,,,,,
83296,1,27977,Nosema granulosis,,eukaryota,FALSE,48712750.42,100,,,,,,,,,,,,,100,4871.275042,15957,96,15873,61.712,298.541,10^0.0073961,,,,,
27978,1,27977,Nosema bombycis,,eukaryota,FALSE,10409881.49,100,100,517.1360482,1694,1,902,94.6104,55.5788,10^-16.5347,,,,,100,523.8521007,1716,19,1702,53.504,143.08,10^0.0847869,,,,,
1112939,1,27977,Nosema pernyi,,eukaryota,FALSE,4145636.089,100,100,391.3627,1282,,,90.5812,61.3546,10^-20.812,,,,,100,23.20090889,76,1,75,50.4712,35.9452,10^0.138082,,,,,
885908,1,27977,Nosema mylitta,,eukaryota,FALSE,1813334.195,100,100,181.3334195,594,,,95.6936,65.54,10^-28.3009,,,,,,,,,,,,,,,,,
1633330,1,27977,Nosema ricini,,eukaryota,FALSE,24422.00936,100,100,2.442200936,8,,,94.8653,42.1667,10^-13.4177,,,,,,,,,,,,,,,,,
2485486,1,27977,Nosema assamensis,,eukaryota,FALSE,12211.00468,100,100,1.221100468,4,,,95.1465,41.5,10^-13.1951,,,,,,,,,,,,,,,,,
40300,1,27977,Nosema sp.,,eukaryota,FALSE,9158.253509,100,100,0.915825351,3,,,100,62.3333,10^-30.0581,,,,,,,,,,,,,,,,,
5683,2,5683,Leptomonas,,eukaryota,FALSE,1956575385,100,100,90553.1474,296628,2372,274747,89.8975,833.544,10^-228.319,,,,,100,156431.2124,512427,14593,470759,81.8907,221.214,10^0.0142586,,,,,"[157538, 5684, 412016, 462205, 1001634, 332677, 5685]"
157538,1,5683,Leptomonas pyrrhocoris,,eukaryota,FALSE,1956575385,100,100,88630.21944,290329,2370,268507,89.7945,828.352,10^-226.686,,,,,100,107027.3191,350593,8845,325525,83.2425,242.249,10^0.00750707,,,,,
5684,1,5683,Leptomonas seymouri,,eukaryota,FALSE,494215992.4,100,100,1921.706861,6295,2,6240,94.7152,1077.36,10^-304.968,,,,,100,47499.89238,155597,5747,138998,78.2903,168.235,10^0.0300602,,,,,
