Variable	Factor_Levels	AvgDistanceToMedian	ANOVA_DF	ANOVA_Fvalue	ANOVA_pvalue	adj_pvalue	Sig
Sociality	Eusocial,Polymorphic,Solitary	0.613071721628628,0.612379339182255,0.627360682344649	2	0.231766755101759	0.793342757122788	0.793342757122788	Non-Sig
Sociality 	Complex Eusocial,Polymorphic,Primitive Eusocial,Solitary	0.62715877963932,0.612379339182255,0.565464683648573,0.627360682344649	3	4.49155589533691	0.00448237932472702	0.00768407884238918	Sig
Sex	Female,Male,Unknown	0.61650043840125,0.149245203224293,0.604310613889776	2	40.7076702364857	1.43526234123795e-15	1.72231480948553e-14	Sig
Year Collected	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	0,0.370218417679422,0.563440924823207,0.592782912998631,0.591886894514585,0.545933910230045,0.58933000336629,0.16104161399771,0.47311127442907,0.59777236098218,0.584901164720472	10	6.19459284452843	3.43322199399065e-08	8.23973278557757e-08	Sig
Month Collected	April,August,December,February,January,July,June,March,May,November,October,September	0.549874805671364,0.502814802560394,0.457564853714851,0,0.591033676629324,0.560741678204479,0.522502860308149,0.574230134707069,0.523328007339729,0.338934220466763,0.266659612331573,0.460345395924131	11	1.47154708643281	0.151496194109468	0.181795432931361	Non-Sig
Library Layout	Paired,Single	0.622602812195946,0.380379411764707	1	13.5156518894625	0.000303198317624219	0.000606396635248437	Sig
Library Selection	CDNA,PCR,POLYA,RANDOM,RT-PCR	0.585225557525265,0.573553558313161,0.601735146701743,0.604531307148123,0.473056400478002	4	2.3129149763856	0.0595855298101735	0.0893782947152603	Non-Sig
Platform	BGISEQ,Illumina HiSeq,Illumina NextSeq,Illumina NovaSeq,Ion Torrent,MGI	0.315398037869626,0.609642879026415,0.268111548361661,0.561059983911952,0.380379411764707,0.37407432225886	5	11.3293011235576	1.26888150735109e-09	5.07552602940436e-09	Sig
Host Family	Andrenidae,Apidae,Halictidae,Megachilidae	0.615068449812761,0.608628623433225,0.533659509295751,0.558694158990226	3	1.99815669948396	0.115513097458191	0.154017463277587	Non-Sig
Host Tribe	Andrenini,Apini,Augochlorini,Bombini,Ceratini,Euglossini,Meliponini,Osmiini	0.615068449812761,0.621842995749001,0.533659509295751,0.565464683648573,0.504536244061621,0.30132156878911,0.62325766165606,0.558694158990226	7	7.69465273983313	3.2826837835677e-08	8.23973278557757e-08	Sig
Continent	Africa,Asia,Europe,North America,Oceania,South America	0.482302211773734,0.611661789174142,0.587469438008671,0.610233927366455,0.606763206214219,0.599041741861755	5	1.03987859094107	0.395371942428478	0.431314846285612	Non-Sig
Tissue Type	abdomen,abdomen and fatbody, pooled,abdomen and head, pooled,gut,whole body,whole body, pooled	0.532291953050003,0.244947552967345,0.555455690955431,0.635420394272819,0.6388574047321,0.60476293425467	5	12.7997276135188	8.67032511310884e-11	5.20219506786531e-10	Sig
