Sample	NMDS1	NMDS2	NMDS3	NMDS4	NMDS5	NMDS6	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	SubFamily	Tribe	Tissue2	Tissue3	Continent	Sociality2
AM_N_072	-0.291199507875201	0.0383350466519906	-0.0556386468211529	-0.167336678214845	-0.0179137934153984	-0.098785579789689	Apis mellifera	Eusocial	Female	abdomen	United Kingdom	RNA	CompHym22	2019	July	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Europe	Complex Eusocial
BT_N_001	-0.259668571831949	0.0430013971442752	-0.0657824930236266	-0.062380834286193	-0.0285515906249027	-0.0775459046490592	Bombus terrestris	Eusocial	Female	abdomen	United Kingdom	RNA	CompHym22	2019	July	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	Europe	Primitive Eusocial
BT_N_025	-0.22995129251761	0.0728674026609208	-0.0797628328010282	-0.0906132691043575	-0.107899246200502	-0.077232354669397	Bombus terrestris	Eusocial	Female	abdomen	United Kingdom	RNA	CompHym22	2019	July	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	Europe	Primitive Eusocial
BT_N_029	-0.168628656974406	0.0927051389061777	-0.0531527260501609	-0.0810053264510787	-0.0848738807984763	-0.114414105686401	Bombus terrestris	Eusocial	Female	abdomen	United Kingdom	RNA	CompHym22	2019	July	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	Europe	Primitive Eusocial
CA_N_007	0.223796547538763	-0.00386963298410262	-0.147660856327798	0.0509126146910097	0.0225334322891863	-0.253561725612877	Ceratina australensis	Polymorphic	Female	abdomen	Australia	RNA	CompHym22	2019	January	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Ceratina	Apidae	Xylocopinae	Ceratini	abdomen	abdomen	Oceania	Polymorphic
CA_N_030	0.135891866174463	-0.104667438336107	0.332760166876819	-0.0845036283900979	0.240750868880634	-0.0295988915115081	Ceratina australensis	Polymorphic	Female	abdomen	Australia	RNA	CompHym22	2019	January	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Ceratina	Apidae	Xylocopinae	Ceratini	abdomen	abdomen	Oceania	Polymorphic
ERR10123638	-0.175710788949994	-0.142887563390361	-0.0799281274357241	-0.135428028775035	-0.0450586929738783	-0.0706285203824758	Bombus pascuorum	Eusocial	Unknown	abdomen	United Kingdom	RNA	PRJEB43529	2020	August	Paired	POLYA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	Europe	Primitive Eusocial
SRR10034516	0.0908612594659309	0.0969958280647445	-0.169978242257012	0.179022289073071	0.1100723835635	0.0541137780070478	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR10034517	0.0459248242751261	0.0446140631320246	-0.19072662331656	0.205028545504586	0.117899831684684	0.0928042454858	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR10034518	-0.0356135632815829	-0.0307952411287506	-0.133279417920613	0.216928391022483	0.114774993057695	0.17143233982042	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR10034523	0.0647035823552452	0.0680087509835533	-0.176862844910887	0.187626663734793	0.117136277416085	0.0859867309291575	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR11426431	0.171945475685148	0.216486356306912	-0.11692541028993	0.0151648876474492	0.0162895176981984	-0.00141460934449562	Tetragonisca angustula	Eusocial	Female	whole body (pool of 6)	Brazil	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Tetragonisca	Apidae	Apinae	Meliponini	whole body, pooled	whole body	South America	Complex Eusocial
SRR11426432	0.215055732869231	0.223650912253097	-0.128498770727835	0.00244346851618742	0.0369940203225524	-0.0484487177856984	Tetragonisca angustula	Eusocial	Female	whole body (pool of 6)	Brazil	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Tetragonisca	Apidae	Apinae	Meliponini	whole body, pooled	whole body	South America	Complex Eusocial
SRR11426433	0.217842619697584	0.222037388235558	-0.117605011386281	-0.0138673638656479	0.0321616617381071	-0.00538120866635391	Tetragonisca angustula	Eusocial	Female	whole body (pool of 6)	Brazil	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Tetragonisca	Apidae	Apinae	Meliponini	whole body, pooled	whole body	South America	Complex Eusocial
SRR11440495	0.243042426434961	0.221331526803981	-0.0946999500352244	0.00822605002985713	0.0399277265231105	-0.0230494074230117	Tetragonisca angustula	Eusocial	Female	whole body (pool of 6)	Brazil	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Tetragonisca	Apidae	Apinae	Meliponini	whole body, pooled	whole body	South America	Complex Eusocial
SRR11440496	0.245462291288535	0.217405766831324	-0.10483794446276	-0.0059772984763473	0.0397856061039591	-0.0126508786502458	Tetragonisca angustula	Eusocial	Female	whole body (pool of 6)	Brazil	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Tetragonisca	Apidae	Apinae	Meliponini	whole body, pooled	whole body	South America	Complex Eusocial
SRR11445089	0.0654382429812378	-0.0676237554661794	0.112898978552908	0.0922535310526148	-0.233743856706384	-0.205272055001584	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11445090	0.000856354185263317	-0.107576012166066	0.120464987915727	0.116603867392057	-0.218615597367644	-0.181899367856172	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11445091	0.0575521897710011	-0.115762799809547	0.105965815165306	0.0719696011717962	-0.254304819573173	-0.202337323545499	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448239	0.126218756823978	-0.0806891776690572	0.121233437030363	0.0627638191397525	-0.266547763599172	-0.186246463314536	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
