TaxID	Sample	NoReads	TotReads	RelAbundance	AvgRelAbundance	Prevalence	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	Continent	tax_name	genus	family	order	class	phylum
TRH152	SRR3948575	114	114	1	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	June	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH1	SRR5253659	15820	16834	0.939764761791612	0.128233140413873	0.466666666666667	Halictus sexcinctus	Polymorphic	Unknown	whole body	Switzerland	RNA	PRJNA374528	2017	NA	Single	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Halictus	Halictidae	Europe	Starmerella	Starmerella		Saccharomycetales	Saccharomycetes	Ascomycota
TRH152	SRR3948570	135	157	0.859872611464968	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	May	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH152	SRR3948544	124	145	0.855172413793103	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	April	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH153	SRR13442825	448	534	0.838951310861423	0.0601373066345052	0.2	Lasioglossum	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Lasioglossum	Halictidae	Oceania	Cladosporium	Cladosporium	Cladosporiaceae	Cladosporiales	Dothideomycetes	Ascomycota
TRH152	SRR3948577	169	217	0.778801843317972	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH152	SRR3948533	110	144	0.763888888888889	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH152	SRR3948531	1021	1348	0.757418397626113	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH152	SRR3948536	66	104	0.634615384615385	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2013	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH152	SRR3948566	74	126	0.587301587301587	0.492746845893938	0.8	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	North America	Yamadazyma	Yamadazyma	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
