Sample	NMDS1	NMDS2	NMDS3	NMDS4	NMDS5	NMDS6	NMDS7	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	SubFamily	Tribe	Tissue2	Tissue3	Continent	Sociality2
AM_N_068	-0.073672912852454	-0.0727608794375024	-0.168462088509531	-0.276675432426464	0.0113980564424854	0.392138150001574	0.0477596878237817	Apis mellifera	Eusocial	Female	abdomen	United Kingdom	RNA	CompHym22	2019	July	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Europe	Complex Eusocial
SRR10034516	0.343572573347623	0.0777166969081897	0.0278324188994973	-0.126669127522774	-0.00724382580221669	0.00174738197462828	0.0226151498185366	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR10034517	0.340607730113288	0.0654736251489495	0.0680806628023108	-0.0916310064934485	-0.00449658844293876	0.0570505229430162	-0.0181479400812874	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR10034518	0.356050363854973	0.062054883507255	0.00974094103573729	-0.125008254850054	0.00594382657862233	-0.0172693092358851	0.0205549008746117	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR10034523	0.356050364174221	0.0620548822618863	0.00974094108189943	-0.125008254989018	0.00594382666499323	-0.0172693086545353	0.0205549005589959	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR11426432	0.0844685555099181	-0.00267841081508113	0.127381738322701	0.0508003834815702	0.0427698940823238	-0.338775620307831	-0.021733557865742	Tetragonisca angustula	Eusocial	Female	whole body (pool of 6)	Brazil	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Tetragonisca	Apidae	Apinae	Meliponini	whole body, pooled	whole body	South America	Complex Eusocial
SRR11440496	0.156468261994856	0.0378103113829617	0.201771011991309	0.087743277721304	0.00314323411737916	-0.277106962516078	-0.196828179698677	Tetragonisca angustula	Eusocial	Female	whole body (pool of 6)	Brazil	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Tetragonisca	Apidae	Apinae	Meliponini	whole body, pooled	whole body	South America	Complex Eusocial
SRR11445089	0.178392945951112	-0.0579083151481383	0.00656770982746929	0.119163688995646	0.155676144794294	0.0358218157192326	0.160284971384688	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11445090	0.227829081920615	-0.027597854781977	-0.0460455356529697	0.119806858810293	0.0614157424773933	0.018981607768181	0.109064396508732	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11445091	0.125390575746413	0.00133342803654054	0.0981728481707382	0.250413740436112	0.0741809076276653	0.0254477224179192	0.117664890818817	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448239	0.0501761879467245	-0.0725988890236071	-0.00107123624120513	0.225461909081844	0.18449330185613	0.0137967943133166	0.217854699613252	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448240	0.0252655129661273	-0.0873962591204578	-0.035357965067875	0.244337937470702	0.184393570051447	0.0188166872041384	0.21537780567248	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448241	0.0409318014581322	-0.0484777460949216	-0.0139913929953029	0.21325897858017	0.201163623990933	-0.114731948926218	0.208702740092466	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR12053430	0.362204530121727	-0.233441227899185	0.0685728750981269	0.102104852640231	0.038587683882469	-0.085509358783813	-0.0584181001593726	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	June	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12233820	0.0176314659473878	0.112607808693728	0.360175998038903	0.123194232290518	-0.106386542575162	0.231107089336164	-0.0296238974467833	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646602	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12235348	-0.00497162206197026	-0.0118105698058096	0.200935551225461	0.245246177429641	-0.099044296919686	0.116697970269508	-0.174289211120438	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646687	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12244814	-0.0857253547899105	-0.208326217851374	0.0181731464647475	-0.00421041509459117	-0.188844045484048	0.00226553856018811	0.0757991474501994	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646806	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12245258	-0.125299181183143	-0.255309285475316	0.086323625993438	-0.0270787880620439	-0.0781942852443382	0.0227406334613003	-0.0705559742685449	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646816	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12245523	-0.147944567527068	-0.189634445189588	0.0878881800808085	0.0976729647835567	0.167229046709851	0.0725761401701225	-0.124037005103014	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646831	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
