Variable	Factor_Levels	AvgDistanceToMedian	ANOVA_DF	ANOVA_Fvalue	ANOVA_pvalue	adj_pvalue	Sig
Sociality	Eusocial,Polymorphic,Solitary	0.620596409827369,0.63378540186,0.644536720631069	2	1.12372508062277	0.326821830213727	0.3595040132351	Non-Sig
Sociality 	Complex Eusocial,Polymorphic,Primitive Eusocial,Solitary	0.627695479442127,0.63378540186,0.585920685370707,0.644536720631069	3	2.86577658648044	0.0374031891207327	0.04571500892534	Sig
Sex	Female,Male,Queen,Unknown	0.630469120644249,0.62447964417473,0,0.621200063783478	3	19.8188961762505	1.79467729254485e-11	9.8707251089967e-11	Sig
Year Collected	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	0.544237765091576,0.543992000873671,0.591115669510035,0.545629685220736,0.621216707931019,0.603275395372446,0.620895389529239,0.128656967140452,0.504826471055671,0.559437645378583,0.580491166371463	10	6.21806144719905	2.18592474360456e-08	8.01505739321672e-08	Sig
Month Collected	April,August,December,February,January,July,June,March,May,November,October,September	0.628990597346187,0.587907913995136,0.348433133441571,0,0.582209501215132,0.585469772256719,0.463352267795455,0.625339237879467,0.595210068120054,0.218273099793787,0.52232883679107,0.591647843103737	11	4.91933540533807	1.91143537939337e-06	3.5042981955545e-06	Sig
Library Layout	Paired,Single	0.63787630253893,0.445228374640419	1	23.5097905651689	2.26629909356943e-06	3.56132714703767e-06	Sig
Library Selection	CDNA,OLIGO-DT,Other,PCR,POLYA,RANDOM,RT-PCR	0.629830221942353,0,0.461947385620915,0.596235082956447,0.6412074868782,0.614152654894595,0.495483761259203	6	8.034248031147	8.82983237091022e-08	2.42820390200031e-07	Sig
Platform	BGISEQ,Illumina Genome Analyzer,Illumina HiSeq,Illumina NextSeq,Illumina NovaSeq,Ion Torrent,MGI	0.460325506044472,0,0.641375646760478,0.477454444163725,0.544285967601149,0.176018739252156,0.486953805361179	6	11.8713849393089	1.36580909428247e-11	9.8707251089967e-11	Sig
Host Family	Andrenidae,Apidae,Colletidae,Halictidae,Megachilidae	0.628352268412963,0.623174181884948,0,0.535770020063571,0.567735743927113	4	6.92111603279442	2.80570596311368e-05	3.85784569928131e-05	Sig
Host Tribe	Allodapini,Andrenini,Anthophorini,Apini,Augochlorini,Bombini,Ceratini,Colletini,Epeolini,Euglossini,Halictini,Meliponini,Osmiini,Rophitini,Xylocopini	0.379366390765462,0.628352268412963,0.499999999999121,0.619885941004253,0.466926043445264,0.585920685370707,0.578514975717086,0,0,0.503681151179029,0.573735926733762,0.616757599593852,0.567735743927113,0,0	14	4.44968134969056	5.10678695384575e-07	1.12349312984607e-06	Sig
Continent	Africa,Asia,Europe,North America,Oceania,South America	0.558985707904653,0.623675480148994,0.607101736792151,0.621171785288295,0.632694577960978,0.631017357544757	5	0.535483755945803	0.749289432646352	0.749289432646352	Non-Sig
